image_id,filename,filepath,anomaly_class,triage_label,is_anomaly,maintenance_priority,width,height,image_mode,pixel_mean,pixel_std,split
477,477.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\477.jpg,Offline-Module,Anomaly Detected,1,Critical,24,40,L,193.25729166666667,39.904801415346796,train
8247,8247.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8247.jpg,Soiling,Anomaly Detected,1,Moderate,24,40,L,162.36770833333333,26.162457177826347,train
365,365.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\365.jpg,Offline-Module,Anomaly Detected,1,Critical,24,40,L,159.4125,16.935928586390926,train
7592,7592.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7592.jpg,Cracking,Anomaly Detected,1,High,24,40,L,173.84166666666667,21.118069211512264,train
18586,18586.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18586.jpg,No-Anomaly,Normal,0,Low,24,40,L,136.41979166666667,9.14443273016961,train
10096,10096.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10096.jpg,No-Anomaly,Normal,0,Low,24,40,L,137.32916666666668,12.299135442741044,train
4387,4387.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4387.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,129.065625,18.550013073473604,train
11573,11573.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11573.jpg,No-Anomaly,Normal,0,Low,24,40,L,88.61145833333333,9.225647784298431,train
8508,8508.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8508.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,184.86875,15.32887602220615,train
9652,9652.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\9652.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,176.16145833333334,17.762025678581743,train
11608,11608.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11608.jpg,No-Anomaly,Normal,0,Low,24,40,L,192.34895833333334,16.56106437043215,train
10021,10021.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10021.jpg,No-Anomaly,Normal,0,Low,24,40,L,184.63645833333334,6.247843291082977,train
16414,16414.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16414.jpg,No-Anomaly,Normal,0,Low,24,40,L,119.08229166666666,10.3252572081731,train
2790,2790.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\2790.jpg,Shadowing,Anomaly Detected,1,Moderate,24,40,L,225.28854166666667,11.274559948837496,train
4235,4235.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4235.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,152.19583333333333,21.752853819799267,train
7809,7809.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7809.jpg,Cracking,Anomaly Detected,1,High,24,40,L,126.6875,32.918716972010515,train
16111,16111.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16111.jpg,No-Anomaly,Normal,0,Low,24,40,L,153.19895833333334,11.521402138987419,train
1586,1586.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1586.jpg,Diode,Anomaly Detected,1,High,24,40,L,229.70416666666668,16.650887843362053,train
13862,13862.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\13862.jpg,No-Anomaly,Normal,0,Low,24,40,L,166.78854166666667,23.905501327238408,train
14602,14602.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\14602.jpg,No-Anomaly,Normal,0,Low,24,40,L,196.646875,20.287755200310073,train
8187,8187.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8187.jpg,Soiling,Anomaly Detected,1,Moderate,24,40,L,208.25104166666668,33.112033609373256,train
16629,16629.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16629.jpg,No-Anomaly,Normal,0,Low,24,40,L,141.03020833333332,19.22487873711034,train
13397,13397.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\13397.jpg,No-Anomaly,Normal,0,Low,24,40,L,175.70208333333332,15.379599441892353,train
5718,5718.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5718.jpg,Cell,Anomaly Detected,1,High,24,40,L,171.7625,11.03346472102032,train
14364,14364.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\14364.jpg,No-Anomaly,Normal,0,Low,24,40,L,131.80833333333334,14.147612185650113,train
13333,13333.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\13333.jpg,No-Anomaly,Normal,0,Low,24,40,L,142.96041666666667,24.61538509062416,train
1450,1450.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1450.jpg,Diode,Anomaly Detected,1,High,24,40,L,151.79375,14.27071456763232,train
12325,12325.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12325.jpg,No-Anomaly,Normal,0,Low,24,40,L,125.25833333333334,11.722837990672547,train
6542,6542.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\6542.jpg,Cell,Anomaly Detected,1,High,24,40,L,177.1125,35.55854693905063,train
6399,6399.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\6399.jpg,Cell,Anomaly Detected,1,High,24,40,L,203.52291666666667,22.10155292039579,train
11344,11344.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11344.jpg,No-Anomaly,Normal,0,Low,24,40,L,129.8,23.440963077484678,train
3951,3951.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3951.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,112.66354166666666,22.225884027186197,train
8560,8560.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8560.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,171.03333333333333,18.771069643351588,train
15509,15509.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\15509.jpg,No-Anomaly,Normal,0,Low,24,40,L,182.41458333333333,14.59833737084657,train
8817,8817.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8817.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,201.06145833333332,23.215327505908615,train
3857,3857.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3857.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,184.55208333333334,14.799964661885365,train
10816,10816.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10816.jpg,No-Anomaly,Normal,0,Low,24,40,L,203.84166666666667,17.52848673508989,train
7322,7322.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7322.jpg,Cracking,Anomaly Detected,1,High,24,40,L,130.175,22.50695725770145,train
9143,9143.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\9143.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,157.45729166666666,24.45446978907804,train
15144,15144.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\15144.jpg,No-Anomaly,Normal,0,Low,24,40,L,170.48645833333333,17.919955820907145,train
11952,11952.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11952.jpg,No-Anomaly,Normal,0,Low,24,40,L,163.23958333333334,20.808924763821626,train
12856,12856.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12856.jpg,No-Anomaly,Normal,0,Low,24,40,L,147.70208333333332,21.31575111648009,train
19718,19718.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\19718.jpg,No-Anomaly,Normal,0,Low,24,40,L,246.32604166666667,12.594846373216729,train
16158,16158.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16158.jpg,No-Anomaly,Normal,0,Low,24,40,L,164.51145833333334,5.331497792046548,train
693,693.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\693.jpg,Offline-Module,Anomaly Detected,1,Critical,24,40,L,192.32395833333334,40.39750725805901,train
15066,15066.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\15066.jpg,No-Anomaly,Normal,0,Low,24,40,L,174.51041666666666,14.713368914915064,train
12375,12375.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12375.jpg,No-Anomaly,Normal,0,Low,24,40,L,152.74270833333333,22.094811065004922,train
17142,17142.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\17142.jpg,No-Anomaly,Normal,0,Low,24,40,L,190.21041666666667,19.56212049241396,train
13393,13393.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\13393.jpg,No-Anomaly,Normal,0,Low,24,40,L,174.95520833333333,19.99935087379748,train
9222,9222.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\9222.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,181.35833333333332,17.690120045444075,train
408,408.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\408.jpg,Offline-Module,Anomaly Detected,1,Critical,24,40,L,157.70104166666667,33.13393274144997,train
3171,3171.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3171.jpg,Shadowing,Anomaly Detected,1,Moderate,24,40,L,173.33854166666666,17.65647231300552,train
13466,13466.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\13466.jpg,No-Anomaly,Normal,0,Low,24,40,L,184.13854166666667,8.043150162711783,train
19604,19604.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\19604.jpg,No-Anomaly,Normal,0,Low,24,40,L,208.84375,21.19253412417134,train
6608,6608.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\6608.jpg,Cell,Anomaly Detected,1,High,24,40,L,158.63333333333333,14.521067071289522,train
8516,8516.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8516.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,171.28645833333334,32.375116215337314,train
10806,10806.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10806.jpg,No-Anomaly,Normal,0,Low,24,40,L,158.00104166666668,11.717197073031754,train
1863,1863.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1863.jpg,Diode,Anomaly Detected,1,High,24,40,L,165.10520833333334,14.000609136983906,train
4002,4002.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4002.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,202.91979166666667,15.212345040238336,train
3893,3893.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3893.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,164.75833333333333,30.745391479410735,train
10962,10962.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10962.jpg,No-Anomaly,Normal,0,Low,24,40,L,91.71354166666667,11.011368365917587,train
19583,19583.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\19583.jpg,No-Anomaly,Normal,0,Low,24,40,L,160.96458333333334,13.360576172445642,train
489,489.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\489.jpg,Offline-Module,Anomaly Detected,1,Critical,24,40,L,145.04583333333332,19.212896692210563,train
9267,9267.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\9267.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,176.7375,25.966361452528023,train
1154,1154.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1154.jpg,Diode,Anomaly Detected,1,High,24,40,L,184.2875,15.635851232024434,train
12023,12023.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12023.jpg,No-Anomaly,Normal,0,Low,24,40,L,146.340625,20.14731205254707,train
8370,8370.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8370.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,179.215625,18.936306772776692,train
10349,10349.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10349.jpg,No-Anomaly,Normal,0,Low,24,40,L,188.20833333333334,20.78587093569946,train
15380,15380.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\15380.jpg,No-Anomaly,Normal,0,Low,24,40,L,79.48854166666666,6.96149184489914,train
8385,8385.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8385.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,175.38541666666666,30.42921081230537,train
15758,15758.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\15758.jpg,No-Anomaly,Normal,0,Low,24,40,L,150.78854166666667,12.61588259721044,train
16264,16264.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16264.jpg,No-Anomaly,Normal,0,Low,24,40,L,188.353125,9.605081696739578,train
10449,10449.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10449.jpg,No-Anomaly,Normal,0,Low,24,40,L,158.34166666666667,16.327377740742353,train
1902,1902.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1902.jpg,Diode,Anomaly Detected,1,High,24,40,L,185.59166666666667,15.186614628971425,train
11127,11127.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11127.jpg,No-Anomaly,Normal,0,Low,24,40,L,137.39479166666666,15.600927254704997,train
18519,18519.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18519.jpg,No-Anomaly,Normal,0,Low,24,40,L,135.42708333333334,15.32396325453663,train
10519,10519.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10519.jpg,No-Anomaly,Normal,0,Low,24,40,L,161.61875,19.60592125959655,train
7631,7631.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7631.jpg,Cracking,Anomaly Detected,1,High,24,40,L,175.77083333333334,21.113028741487778,train
18790,18790.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18790.jpg,No-Anomaly,Normal,0,Low,24,40,L,128.43125,14.072559827698964,train
4944,4944.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4944.jpg,Cell,Anomaly Detected,1,High,24,40,L,172.49479166666666,26.698392077799937,train
16063,16063.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16063.jpg,No-Anomaly,Normal,0,Low,24,40,L,84.87291666666667,6.228002608626265,train
18428,18428.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18428.jpg,No-Anomaly,Normal,0,Low,24,40,L,206.796875,12.87129358563887,train
19220,19220.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\19220.jpg,No-Anomaly,Normal,0,Low,24,40,L,186.41875,13.234254107082624,train
6921,6921.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\6921.jpg,Hot-Spot,Anomaly Detected,1,High,24,40,L,185.640625,9.950032224874533,train
16364,16364.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16364.jpg,No-Anomaly,Normal,0,Low,24,40,L,181.46041666666667,6.827830291758543,train
4932,4932.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4932.jpg,Cell,Anomaly Detected,1,High,24,40,L,160.62083333333334,22.964737083310045,train
3760,3760.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3760.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,141.69270833333334,22.54967546325809,train
8376,8376.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8376.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,173.10104166666667,17.026547866442684,train
5039,5039.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5039.jpg,Cell,Anomaly Detected,1,High,24,40,L,103.88958333333333,38.44742481397667,train
8535,8535.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\8535.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,193.06354166666668,22.462865744525946,train
12414,12414.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12414.jpg,No-Anomaly,Normal,0,Low,24,40,L,131.31979166666667,8.99669059283823,train
12001,12001.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12001.jpg,No-Anomaly,Normal,0,Low,24,40,L,138.86979166666666,17.433406746529222,train
15682,15682.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\15682.jpg,No-Anomaly,Normal,0,Low,24,40,L,147.81041666666667,10.846442189018582,train
4208,4208.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4208.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,155.128125,23.37139545793194,train
3891,3891.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\3891.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,93.571875,17.261863089415012,train
4853,4853.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4853.jpg,Cell,Anomaly Detected,1,High,24,40,L,143.27604166666666,19.961208447008676,train
1894,1894.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1894.jpg,Diode,Anomaly Detected,1,High,24,40,L,168.64479166666666,13.779357823931075,train
7031,7031.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7031.jpg,Cracking,Anomaly Detected,1,High,24,40,L,180.065625,21.10333863853557,train
14800,14800.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\14800.jpg,No-Anomaly,Normal,0,Low,24,40,L,170.52083333333334,33.67512656703098,train
6027,6027.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\6027.jpg,Cell,Anomaly Detected,1,High,24,40,L,164.515625,26.384057797453654,train
5836,5836.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5836.jpg,Cell,Anomaly Detected,1,High,24,40,L,134.91354166666667,24.673869105255136,train
5859,5859.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5859.jpg,Cell,Anomaly Detected,1,High,24,40,L,164.1125,12.499827082137308,train
12890,12890.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\12890.jpg,No-Anomaly,Normal,0,Low,24,40,L,183.509375,8.087278823933405,train
922,922.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\922.jpg,Diode-Multi,Anomaly Detected,1,Critical,24,40,L,196.49583333333334,27.40593730025586,train
16961,16961.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\16961.jpg,No-Anomaly,Normal,0,Low,24,40,L,97.51666666666667,13.156578413689312,train
2528,2528.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\2528.jpg,Shadowing,Anomaly Detected,1,Moderate,24,40,L,144.2125,9.091929227800518,train
1210,1210.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\1210.jpg,Diode,Anomaly Detected,1,High,24,40,L,181.49270833333333,19.779565132519906,train
11416,11416.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11416.jpg,No-Anomaly,Normal,0,Low,24,40,L,154.71041666666667,8.494329961395163,train
2785,2785.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\2785.jpg,Shadowing,Anomaly Detected,1,Moderate,24,40,L,61.071875,7.594957251429508,train
5048,5048.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5048.jpg,Cell,Anomaly Detected,1,High,24,40,L,135.82083333333333,26.05389412939178,train
11130,11130.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11130.jpg,No-Anomaly,Normal,0,Low,24,40,L,90.93020833333334,10.338153645111422,train
10957,10957.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\10957.jpg,No-Anomaly,Normal,0,Low,24,40,L,101.9,12.731048006088631,train
5920,5920.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5920.jpg,Cell,Anomaly Detected,1,High,24,40,L,99.01354166666667,19.640329044000186,train
7986,7986.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\7986.jpg,Hot-Spot-Multi,Anomaly Detected,1,Critical,24,40,L,180.98229166666667,22.575399104960777,train
11218,11218.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\11218.jpg,No-Anomaly,Normal,0,Low,24,40,L,173.34895833333334,20.740060344213013,train
14362,14362.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\14362.jpg,No-Anomaly,Normal,0,Low,24,40,L,196.80520833333333,7.902437253147319,train
19083,19083.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\19083.jpg,No-Anomaly,Normal,0,Low,24,40,L,158.06354166666668,27.887182015935757,train
2564,2564.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\2564.jpg,Shadowing,Anomaly Detected,1,Moderate,24,40,L,189.92083333333332,6.669581394077309,train
4694,4694.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\4694.jpg,Cell-Multi,Anomaly Detected,1,Critical,24,40,L,169.89895833333333,14.78679023931824,train
18072,18072.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\18072.jpg,No-Anomaly,Normal,0,Low,24,40,L,82.77604166666667,19.139587273456655,train
755,755.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\755.jpg,Offline-Module,Anomaly Detected,1,Critical,24,40,L,165.25729166666667,21.122594758494923,train
5833,5833.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\5833.jpg,Cell,Anomaly Detected,1,High,24,40,L,165.36666666666667,30.573458896384114,train
9565,9565.jpg,data\raw\archive\2020-02-14_InfraredSolarModules\InfraredSolarModules\images\9565.jpg,Vegetation,Anomaly Detected,1,Moderate,24,40,L,174.95208333333332,15.688630299032553,train
